,Pclass,Age,SibSp,Parch,Fare,C,Q,S,female,male,Survived
609,1,40.0,0,0,153.4625,0,0,1,1,0,1
610,3,39.0,1,5,31.275,0,0,1,1,0,0
611,3,29.69911764705882,0,0,7.05,0,0,1,0,1,0
612,3,29.69911764705882,1,0,15.5,0,1,0,1,0,1
613,3,29.69911764705882,0,0,7.75,0,1,0,0,1,0
614,3,35.0,0,0,8.05,0,0,1,0,1,0
615,2,24.0,1,2,65.0,0,0,1,1,0,1
616,3,34.0,1,1,14.4,0,0,1,0,1,0
617,3,26.0,1,0,16.1,0,0,1,1,0,0
618,2,4.0,2,1,39.0,0,0,1,1,0,1
619,2,26.0,0,0,10.5,0,0,1,0,1,0
620,3,27.0,1,0,14.4542,1,0,0,0,1,0
621,1,42.0,1,0,52.5542,0,0,1,0,1,1
622,3,20.0,1,1,15.7417,1,0,0,0,1,1
623,3,21.0,0,0,7.8542,0,0,1,0,1,0
624,3,21.0,0,0,16.1,0,0,1,0,1,0
625,1,61.0,0,0,32.3208,0,0,1,0,1,0
626,2,57.0,0,0,12.35,0,1,0,0,1,0
627,1,21.0,0,0,77.9583,0,0,1,1,0,1
628,3,26.0,0,0,7.8958,0,0,1,0,1,0
629,3,29.69911764705882,0,0,7.7333,0,1,0,0,1,0
630,1,80.0,0,0,30.0,0,0,1,0,1,1
631,3,51.0,0,0,7.0542,0,0,1,0,1,0
632,1,32.0,0,0,30.5,1,0,0,0,1,1
633,1,29.69911764705882,0,0,0.0,0,0,1,0,1,0
634,3,9.0,3,2,27.9,0,0,1,1,0,0
635,2,28.0,0,0,13.0,0,0,1,1,0,1
636,3,32.0,0,0,7.925,0,0,1,0,1,0
637,2,31.0,1,1,26.25,0,0,1,0,1,0
638,3,41.0,0,5,39.6875,0,0,1,1,0,0
639,3,29.69911764705882,1,0,16.1,0,0,1,0,1,0
640,3,20.0,0,0,7.8542,0,0,1,0,1,0
641,1,24.0,0,0,69.3,1,0,0,1,0,1
642,3,2.0,3,2,27.9,0,0,1,1,0,0
643,3,29.69911764705882,0,0,56.4958,0,0,1,0,1,1
644,3,0.75,2,1,19.2583,1,0,0,1,0,1
645,1,48.0,1,0,76.7292,1,0,0,0,1,1
646,3,19.0,0,0,7.8958,0,0,1,0,1,0
647,1,56.0,0,0,35.5,1,0,0,0,1,1
648,3,29.69911764705882,0,0,7.55,0,0,1,0,1,0
649,3,23.0,0,0,7.55,0,0,1,1,0,1
650,3,29.69911764705882,0,0,7.8958,0,0,1,0,1,0
651,2,18.0,0,1,23.0,0,0,1,1,0,1
652,3,21.0,0,0,8.4333,0,0,1,0,1,0
653,3,29.69911764705882,0,0,7.8292,0,1,0,1,0,1
654,3,18.0,0,0,6.75,0,1,0,1,0,0
655,2,24.0,2,0,73.5,0,0,1,0,1,0
656,3,29.69911764705882,0,0,7.8958,0,0,1,0,1,0
657,3,32.0,1,1,15.5,0,1,0,1,0,0
658,2,23.0,0,0,13.0,0,0,1,0,1,0
659,1,58.0,0,2,113.275,1,0,0,0,1,0
660,1,50.0,2,0,133.65,0,0,1,0,1,1
661,3,40.0,0,0,7.225,1,0,0,0,1,0
662,1,47.0,0,0,25.5875,0,0,1,0,1,0
663,3,36.0,0,0,7.4958,0,0,1,0,1,0
664,3,20.0,1,0,7.925,0,0,1,0,1,1
665,2,32.0,2,0,73.5,0,0,1,0,1,0
666,2,25.0,0,0,13.0,0,0,1,0,1,0
667,3,29.69911764705882,0,0,7.775,0,0,1,0,1,0
668,3,43.0,0,0,8.05,0,0,1,0,1,0
669,1,29.69911764705882,1,0,52.0,0,0,1,1,0,1
670,2,40.0,1,1,39.0,0,0,1,1,0,1
671,1,31.0,1,0,52.0,0,0,1,0,1,0
672,2,70.0,0,0,10.5,0,0,1,0,1,0
673,2,31.0,0,0,13.0,0,0,1,0,1,1
674,2,29.69911764705882,0,0,0.0,0,0,1,0,1,0
675,3,18.0,0,0,7.775,0,0,1,0,1,0
676,3,24.5,0,0,8.05,0,0,1,0,1,0
677,3,18.0,0,0,9.8417,0,0,1,1,0,1
678,3,43.0,1,6,46.9,0,0,1,1,0,0
679,1,36.0,0,1,512.3292,1,0,0,0,1,1
680,3,29.69911764705882,0,0,8.1375,0,1,0,1,0,0
681,1,27.0,0,0,76.7292,1,0,0,0,1,1
682,3,20.0,0,0,9.225,0,0,1,0,1,0
683,3,14.0,5,2,46.9,0,0,1,0,1,0
684,2,60.0,1,1,39.0,0,0,1,0,1,0
685,2,25.0,1,2,41.5792,1,0,0,0,1,0
686,3,14.0,4,1,39.6875,0,0,1,0,1,0
687,3,19.0,0,0,10.1708,0,0,1,0,1,0
688,3,18.0,0,0,7.7958,0,0,1,0,1,0
689,1,15.0,0,1,211.3375,0,0,1,1,0,1
690,1,31.0,1,0,57.0,0,0,1,0,1,1
691,3,4.0,0,1,13.4167,1,0,0,1,0,1
692,3,29.69911764705882,0,0,56.4958,0,0,1,0,1,1
693,3,25.0,0,0,7.225,1,0,0,0,1,0
694,1,60.0,0,0,26.55,0,0,1,0,1,0
695,2,52.0,0,0,13.5,0,0,1,0,1,0
696,3,44.0,0,0,8.05,0,0,1,0,1,0
697,3,29.69911764705882,0,0,7.7333,0,1,0,1,0,1
698,1,49.0,1,1,110.8833,1,0,0,0,1,0
699,3,42.0,0,0,7.65,0,0,1,0,1,0
700,1,18.0,1,0,227.525,1,0,0,1,0,1
701,1,35.0,0,0,26.2875,0,0,1,0,1,1
702,3,18.0,0,1,14.4542,1,0,0,1,0,0
703,3,25.0,0,0,7.7417,0,1,0,0,1,0
704,3,26.0,1,0,7.8542,0,0,1,0,1,0
705,2,39.0,0,0,26.0,0,0,1,0,1,0
706,2,45.0,0,0,13.5,0,0,1,1,0,1
707,1,42.0,0,0,26.2875,0,0,1,0,1,1
708,1,22.0,0,0,151.55,0,0,1,1,0,1
709,3,29.69911764705882,1,1,15.2458,1,0,0,0,1,1
710,1,24.0,0,0,49.5042,1,0,0,1,0,1
711,1,29.69911764705882,0,0,26.55,0,0,1,0,1,0
712,1,48.0,1,0,52.0,0,0,1,0,1,1
713,3,29.0,0,0,9.4833,0,0,1,0,1,0
714,2,52.0,0,0,13.0,0,0,1,0,1,0
715,3,19.0,0,0,7.65,0,0,1,0,1,0
716,1,38.0,0,0,227.525,1,0,0,1,0,1
717,2,27.0,0,0,10.5,0,0,1,1,0,1
718,3,29.69911764705882,0,0,15.5,0,1,0,0,1,0
719,3,33.0,0,0,7.775,0,0,1,0,1,0
720,2,6.0,0,1,33.0,0,0,1,1,0,1
721,3,17.0,1,0,7.0542,0,0,1,0,1,0
722,2,34.0,0,0,13.0,0,0,1,0,1,0
723,2,50.0,0,0,13.0,0,0,1,0,1,0
724,1,27.0,1,0,53.1,0,0,1,0,1,1
725,3,20.0,0,0,8.6625,0,0,1,0,1,0
726,2,30.0,3,0,21.0,0,0,1,1,0,1
727,3,29.69911764705882,0,0,7.7375,0,1,0,1,0,1
728,2,25.0,1,0,26.0,0,0,1,0,1,0
729,3,25.0,1,0,7.925,0,0,1,1,0,0
730,1,29.0,0,0,211.3375,0,0,1,1,0,1
731,3,11.0,0,0,18.7875,1,0,0,0,1,0
732,2,29.69911764705882,0,0,0.0,0,0,1,0,1,0
733,2,23.0,0,0,13.0,0,0,1,0,1,0
734,2,23.0,0,0,13.0,0,0,1,0,1,0
735,3,28.5,0,0,16.1,0,0,1,0,1,0
736,3,48.0,1,3,34.375,0,0,1,1,0,0
737,1,35.0,0,0,512.3292,1,0,0,0,1,1
738,3,29.69911764705882,0,0,7.8958,0,0,1,0,1,0
739,3,29.69911764705882,0,0,7.8958,0,0,1,0,1,0
740,1,29.69911764705882,0,0,30.0,0,0,1,0,1,1
741,1,36.0,1,0,78.85,0,0,1,0,1,0
742,1,21.0,2,2,262.375,1,0,0,1,0,1
743,3,24.0,1,0,16.1,0,0,1,0,1,0
744,3,31.0,0,0,7.925,0,0,1,0,1,1
745,1,70.0,1,1,71.0,0,0,1,0,1,0
746,3,16.0,1,1,20.25,0,0,1,0,1,0
747,2,30.0,0,0,13.0,0,0,1,1,0,1
748,1,19.0,1,0,53.1,0,0,1,0,1,0
749,3,31.0,0,0,7.75,0,1,0,0,1,0
750,2,4.0,1,1,23.0,0,0,1,1,0,1
751,3,6.0,0,1,12.475,0,0,1,0,1,1
752,3,33.0,0,0,9.5,0,0,1,0,1,0
753,3,23.0,0,0,7.8958,0,0,1,0,1,0
754,2,48.0,1,2,65.0,0,0,1,1,0,1
755,2,0.67,1,1,14.5,0,0,1,0,1,1
756,3,28.0,0,0,7.7958,0,0,1,0,1,0
757,2,18.0,0,0,11.5,0,0,1,0,1,0
758,3,34.0,0,0,8.05,0,0,1,0,1,0
759,1,33.0,0,0,86.5,0,0,1,1,0,1
760,3,29.69911764705882,0,0,14.5,0,0,1,0,1,0
761,3,41.0,0,0,7.125,0,0,1,0,1,0
762,3,20.0,0,0,7.2292,1,0,0,0,1,1
763,1,36.0,1,2,120.0,0,0,1,1,0,1
764,3,16.0,0,0,7.775,0,0,1,0,1,0
765,1,51.0,1,0,77.9583,0,0,1,1,0,1
766,1,29.69911764705882,0,0,39.6,1,0,0,0,1,0
767,3,30.5,0,0,7.75,0,1,0,1,0,0
768,3,29.69911764705882,1,0,24.15,0,1,0,0,1,0
769,3,32.0,0,0,8.3625,0,0,1,0,1,0
770,3,24.0,0,0,9.5,0,0,1,0,1,0
771,3,48.0,0,0,7.8542,0,0,1,0,1,0
772,2,57.0,0,0,10.5,0,0,1,1,0,0
773,3,29.69911764705882,0,0,7.225,1,0,0,0,1,0
774,2,54.0,1,3,23.0,0,0,1,1,0,1
775,3,18.0,0,0,7.75,0,0,1,0,1,0
776,3,29.69911764705882,0,0,7.75,0,1,0,0,1,0
777,3,5.0,0,0,12.475,0,0,1,1,0,1
778,3,29.69911764705882,0,0,7.7375,0,1,0,0,1,0
779,1,43.0,0,1,211.3375,0,0,1,1,0,1
780,3,13.0,0,0,7.2292,1,0,0,1,0,1
781,1,17.0,1,0,57.0,0,0,1,1,0,1
782,1,29.0,0,0,30.0,0,0,1,0,1,0
783,3,29.69911764705882,1,2,23.45,0,0,1,0,1,0
784,3,25.0,0,0,7.05,0,0,1,0,1,0
785,3,25.0,0,0,7.25,0,0,1,0,1,0
786,3,18.0,0,0,7.4958,0,0,1,1,0,1
787,3,8.0,4,1,29.125,0,1,0,0,1,0
788,3,1.0,1,2,20.575,0,0,1,0,1,1
789,1,46.0,0,0,79.2,1,0,0,0,1,0
790,3,29.69911764705882,0,0,7.75,0,1,0,0,1,0
791,2,16.0,0,0,26.0,0,0,1,0,1,0
792,3,29.69911764705882,8,2,69.55,0,0,1,1,0,0
793,1,29.69911764705882,0,0,30.6958,1,0,0,0,1,0
794,3,25.0,0,0,7.8958,0,0,1,0,1,0
795,2,39.0,0,0,13.0,0,0,1,0,1,0
796,1,49.0,0,0,25.9292,0,0,1,1,0,1
797,3,31.0,0,0,8.6833,0,0,1,1,0,1
798,3,30.0,0,0,7.2292,1,0,0,0,1,0
799,3,30.0,1,1,24.15,0,0,1,1,0,0
800,2,34.0,0,0,13.0,0,0,1,0,1,0
801,2,31.0,1,1,26.25,0,0,1,1,0,1
802,1,11.0,1,2,120.0,0,0,1,0,1,1
803,3,0.42,0,1,8.5167,1,0,0,0,1,1
804,3,27.0,0,0,6.975,0,0,1,0,1,1
805,3,31.0,0,0,7.775,0,0,1,0,1,0
806,1,39.0,0,0,0.0,0,0,1,0,1,0
807,3,18.0,0,0,7.775,0,0,1,1,0,0
808,2,39.0,0,0,13.0,0,0,1,0,1,0
809,1,33.0,1,0,53.1,0,0,1,1,0,1
810,3,26.0,0,0,7.8875,0,0,1,0,1,0
811,3,39.0,0,0,24.15,0,0,1,0,1,0
812,2,35.0,0,0,10.5,0,0,1,0,1,0
813,3,6.0,4,2,31.275,0,0,1,1,0,0
814,3,30.5,0,0,8.05,0,0,1,0,1,0
815,1,29.69911764705882,0,0,0.0,0,0,1,0,1,0
816,3,23.0,0,0,7.925,0,0,1,1,0,0
817,2,31.0,1,1,37.0042,1,0,0,0,1,0
818,3,43.0,0,0,6.45,0,0,1,0,1,0
819,3,10.0,3,2,27.9,0,0,1,0,1,0
820,1,52.0,1,1,93.5,0,0,1,1,0,1
821,3,27.0,0,0,8.6625,0,0,1,0,1,1
822,1,38.0,0,0,0.0,0,0,1,0,1,0
823,3,27.0,0,1,12.475,0,0,1,1,0,1
824,3,2.0,4,1,39.6875,0,0,1,0,1,0
825,3,29.69911764705882,0,0,6.95,0,1,0,0,1,0
826,3,29.69911764705882,0,0,56.4958,0,0,1,0,1,0
827,2,1.0,0,2,37.0042,1,0,0,0,1,1
828,3,29.69911764705882,0,0,7.75,0,1,0,0,1,1
829,1,62.0,0,0,80.0,0,0,1,1,0,1
830,3,15.0,1,0,14.4542,1,0,0,1,0,1
831,2,0.83,1,1,18.75,0,0,1,0,1,1
832,3,29.69911764705882,0,0,7.2292,1,0,0,0,1,0
833,3,23.0,0,0,7.8542,0,0,1,0,1,0
834,3,18.0,0,0,8.3,0,0,1,0,1,0
835,1,39.0,1,1,83.1583,1,0,0,1,0,1
836,3,21.0,0,0,8.6625,0,0,1,0,1,0
837,3,29.69911764705882,0,0,8.05,0,0,1,0,1,0
838,3,32.0,0,0,56.4958,0,0,1,0,1,1
839,1,29.69911764705882,0,0,29.7,1,0,0,0,1,1
840,3,20.0,0,0,7.925,0,0,1,0,1,0
841,2,16.0,0,0,10.5,0,0,1,0,1,0
842,1,30.0,0,0,31.0,1,0,0,1,0,1
843,3,34.5,0,0,6.4375,1,0,0,0,1,0
844,3,17.0,0,0,8.6625,0,0,1,0,1,0
845,3,42.0,0,0,7.55,0,0,1,0,1,0
846,3,29.69911764705882,8,2,69.55,0,0,1,0,1,0
847,3,35.0,0,0,7.8958,1,0,0,0,1,0
848,2,28.0,0,1,33.0,0,0,1,0,1,0
849,1,29.69911764705882,1,0,89.1042,1,0,0,1,0,1
850,3,4.0,4,2,31.275,0,0,1,0,1,0
851,3,74.0,0,0,7.775,0,0,1,0,1,0
852,3,9.0,1,1,15.2458,1,0,0,1,0,0
853,1,16.0,0,1,39.4,0,0,1,1,0,1
854,2,44.0,1,0,26.0,0,0,1,1,0,0
855,3,18.0,0,1,9.35,0,0,1,1,0,1
856,1,45.0,1,1,164.8667,0,0,1,1,0,1
857,1,51.0,0,0,26.55,0,0,1,0,1,1
858,3,24.0,0,3,19.2583,1,0,0,1,0,1
859,3,29.69911764705882,0,0,7.2292,1,0,0,0,1,0
860,3,41.0,2,0,14.1083,0,0,1,0,1,0
861,2,21.0,1,0,11.5,0,0,1,0,1,0
862,1,48.0,0,0,25.9292,0,0,1,1,0,1
863,3,29.69911764705882,8,2,69.55,0,0,1,1,0,0
864,2,24.0,0,0,13.0,0,0,1,0,1,0
865,2,42.0,0,0,13.0,0,0,1,1,0,1
866,2,27.0,1,0,13.8583,1,0,0,1,0,1
867,1,31.0,0,0,50.4958,0,0,1,0,1,0
868,3,29.69911764705882,0,0,9.5,0,0,1,0,1,0
869,3,4.0,1,1,11.1333,0,0,1,0,1,1
870,3,26.0,0,0,7.8958,0,0,1,0,1,0
871,1,47.0,1,1,52.5542,0,0,1,1,0,1
872,1,33.0,0,0,5.0,0,0,1,0,1,0
873,3,47.0,0,0,9.0,0,0,1,0,1,0
874,2,28.0,1,0,24.0,1,0,0,1,0,1
875,3,15.0,0,0,7.225,1,0,0,1,0,1
876,3,20.0,0,0,9.8458,0,0,1,0,1,0
877,3,19.0,0,0,7.8958,0,0,1,0,1,0
878,3,29.69911764705882,0,0,7.8958,0,0,1,0,1,0
879,1,56.0,0,1,83.1583,1,0,0,1,0,1
880,2,25.0,0,1,26.0,0,0,1,1,0,1
881,3,33.0,0,0,7.8958,0,0,1,0,1,0
882,3,22.0,0,0,10.5167,0,0,1,1,0,0
883,2,28.0,0,0,10.5,0,0,1,0,1,0
884,3,25.0,0,0,7.05,0,0,1,0,1,0
885,3,39.0,0,5,29.125,0,1,0,1,0,0
886,2,27.0,0,0,13.0,0,0,1,0,1,0
887,1,19.0,0,0,30.0,0,0,1,1,0,1
888,3,29.69911764705882,1,2,23.45,0,0,1,1,0,0
889,1,26.0,0,0,30.0,1,0,0,0,1,1
890,3,32.0,0,0,7.75,0,1,0,0,1,0
